"Prices of Select Food Items Per Kilogram and Litre, by Community and Region, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baffin,,,,,,,,,,,,,Kivalliq,,,,,,,Kitikmeot,,,,,Global Averages,,,,,,
,Cape Dorset,Hall Beach,Igloolik,Iqaluit,Kimmirut,Pangnirtung,Qikiqtarjuaq,Sanikiluaq,Arctic Bay,Clyde River,Resolute,Grise Fiord,Pond Inlet,Arviat,Baker Lake,Chesterfield Inlet,Coral Harbour,Rankin Inlet,Naujaat,Whale Cove,Cambridge Bay,Gjoa Haven,Kugaaruk,Kugluktuk,Taloyoak,Qikiqtaaluk,Kivalliq,Kitikmeot,Nunavut,,,
Item and Size(s)1,Per Kilogram ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grams of Items,Price of the item in Grams,ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Pre-Cooked Dinners [250-299g],21.99,29.46,22.17,25.01,26.58,42.46,27.50,29.52,25.51,47.82,33.54,…,19.05,22.71,28.04,27.98,40.56,…,23.75,…,25.28,30.78,34.25,22.58,19.81,29.22,28.61,26.54,28.47,250.00,7.12,2342540
Frozen Pizza [800-849g],16.06,17.75,13.81,17.76,20.23,17.49,16.18,18.06,15.93,15.10,…,20.37,19.00,18.42,15.08,16.96,…,…,16.70,16.86,15.79,20.02,21.26,12.81,16.30,17.31,16.80,17.24,17.18,800.00,13.74,2102135
Frozen French Fries [600g-1kg],10.44,8.20,9.56,9.73,10.34,7.69,7.37,9.42,7.23,9.32,9.14,6.99,9.34,6.51,7.81,8.66,9.12,7.75,7.66,6.55,9.96,9.57,8.31,10.95,10.45,8.83,7.72,9.85,8.72,600.00,5.23,2344957
Pilot Biscuits [400g],18.80,14.98,19.98,17.48,15.23,16.23,18.35,18.05,16.73,16.73,22.23,26.38,16.48,18.10,…,21.23,16.23,16.73,16.23,19.88,12.48,16.23,19.18,14.48,16.00,18.28,18.06,15.67,17.68,400.00,7.07,2343285
Chocolate Bars [50-54g],50.41,54.19,65.01,50.62,45.45,53.83,56.40,51.28,68.34,69.73,69.29,46.57,60.67,38.60,47.69,46.83,46.13,40.10,51.70,44.48,36.53,50.47,61.34,49.52,54.59,57.06,45.08,50.49,52.39,50.00,2.62,173137
Potato Chips [240-259g],31.96,33.95,26.86,27.41,33.10,28.98,28.80,28.07,34.50,30.78,49.76,…,39.96,19.57,24.54,25.45,25.06,22.04,27.80,…,26.63,32.51,…,24.93,27.41,32.84,24.08,27.87,29.55,240.00,7.09,2430813
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per Litre ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk 2% [2L],2.77,2.15,2.65,3.27,2.76,4.23,2.75,3.40,3.40,3.45,4.60,…,3.50,1.70,1.42,2.51,2.87,2.20,2.62,4.00,2.48,3.34,…,3.50,3.98,3.24,2.47,3.32,3.02,,,1909132.00
UHT Milk [1L],5.45,4.55,4.59,5.04,5.09,5.59,3.99,5.29,4.32,5.25,5.99,4.29,5.14,4.89,3.99,5.39,6.60,4.67,4.99,3.49,4.09,5.27,…,5.00,6.14,4.97,4.86,5.13,4.96,,,2214706.00
Apple Juice [960ml-1L],8.42,6.35,6.18,6.70,6.69,8.03,6.69,7.95,8.15,7.99,6.99,…,5.45,5.40,5.76,5.06,6.38,6.09,6.21,6.49,6.09,5.72,5.29,5.79,8.08,7.13,5.91,6.19,6.58,,,2103028.00
Orange Juice [960ml-1L],8.76,6.27,6.18,6.14,6.19,8.40,5.83,7.20,8.32,7.99,…,…,5.45,4.94,4.59,5.43,7.49,5.85,6.72,…,5.54,5.09,…,5.94,6.96,6.98,5.84,5.88,6.44,,,2098640.00
